"Id","topic","Label","tt_prime","tt_raw","coherence","prevalence"
"t.37","t.37","person","sanctioned, depository, issuer, dealer, algier, maturity, brokering, obligor, debt, banking","financial, iran, person, bank, credit, foreign, subsection, dotr, acquisition, payment",0.28,0.634282102487255
"t.38","t.38","shipment","pound, crating, unpacking, drayage, voucher, chargeable, household, shipment, weight, valuation","transportation, expense, station, shipment, weight, good, travel, duty, government, household",0.19,0.656280891398673
"t.39","t.39","property","domain, alienation, patent, indian, underutilized, fissionable, tribe, invention, real, supportive","property, alaska, land, indian, government, doi, tribal, real, public, tribe",0.17,0.697014142441913
"t.40","t.40","information","biennially, efficacy, website, metric, streamlined, methodology, format, timetable, accessibility, update","agency, report, plan, program, review, information, ensure, sec, omb, head",0.3,1.92126850102142
"t.41","t.41","island","ryukyu, rico, puerto, guam, interment, columbia, enact, commonwealth, virgin, alley","district, island, columbia, territory, puerto, area, rico, government, commissioner, high",0.28,1.79657552959872
"t.42","t.42","line","longitude, lat, navigate, latitude, strip, intersection, angle, pile, crossing, stone","deg, line, north, south, east, west, point, land, monument, boundary",0.5,0.639452055547022
"t.43","t.43","basin","concurred, basin, rendition, commission, rainy, hunger, bipartisan, broadcasting, drainage, hear","commission, chairman, member, sec, basin, river, report, resource, authorized, public",0.22,1.48412242294327
"t.44","t.44","employee","holiday, workweek, workday, christma, excusing, night, excused, liberal, falling, monday","employee, day, agency, leave, department, compensation, december, government, duty, establishment",0.14,1.29787006732452
"t.45","t.45","convention","detained, torture, geneva, degrading, orientation, interrogation, undocumented, convention, protocol, suitability","convention, access, individual, eligibility, determination, security, national, agent, industrial, special",0.18,0.476669025205558
"t.46","t.46","registrant","nonvolunteer, reopened, youngest, conception, oldest, abbreviation, objector, deferred, noncombatant, registrar","service, class, registrant, selective, board, local, classification, person, part, registration",0.3,0.825584417411032
"t.47","t.47","trade","saharan, nafta, fresh, textile, concession, africa, reciprocity, trade, bilateral, negotiation","trade, agreement, representative, foreign, export, special, committee, doc, tariff, negotiation",0.1,0.9364751604106
"t.48","t.48","person","blocked, evading, burma, syria, unpa, ineffectual, instantaneously, reexportation, syrian, repression","person, property, sec, government, pursuant, national, emergency, entity, dotr, agency",0.15,2.03654755824794
"t.49","t.49","panel","nominating, nominee, circuit, fellow, intern, voter, nominated, internship, evidenced, residing","member, term, panel, person, presidential, appointed, year, serve, transition, vacancy",0.14,0.689274671586353
"t.50","t.50","health","hiv, communicable, epidemic, clinic, plague, smallpox, retardation, infection, countermeasure, fever","health, service, safety, care, welfare, medical, secretary, education, public, hhs",0.11,0.837674467036298
"t.51","t.51","contract","debarred, apprenticeship, persuasion, severability, nondiscrimination, affirmatively, obligating, subcontractor, debarment, absolutely","contract, contractor, agency, employment, regulation, contracting, secretary, government, sec, dol",0.18,0.907403122948993
"t.52","t.52","office","solicitor, resignation, sickness, depart, descending, resigned, succession, occupant, died, ambassador","secretary, assistant, office, deputy, director, officer, general, doc, duty, perform",0.21,1.59005840468665
"t.53","t.53","service","opm, customer, controller, staffing, usa, studying, timeliness, inspector, expectation, comparison","service, management, agency, program, personnel, government, director, system, office, training",0.2,1.06020761546622
"t.54","t.54","regulatory","oira, federalism, rulemaking, uniquely, mandate, regulatory, uncertainty, exigent, adhering, paperwork","agency, regulation, regulatory, action, government, rule, policy, proposed, extent, sec",0.18,0.826900635887242
"t.55","t.55","dispute","pecuniarily, rla, trainmen, enginemen, conductor, commuter, yardmaster, brakemen, switchmen, interrupt","board, dispute, labor, employee, railway, report, carrier, investigate, day, member",0.41,4.60784156162933
"t.56","t.56","rule","discovered, sponte, authenticity, admissible, suspect, inadmissible, stipulation, search, sua, testifying","rule, evidence, military, judge, witness, accused, person, statement, information, paragraph",0.17,0.284246274491301
"t.57","t.57","title","ratification, substandard, delegating, empowered, affixed, approval, discontinue, superseding, expediting, delegate","title, sec, code, regulation, action, respect, stat, function, exercise, approval",0.14,2.59327342973477
"t.58","t.58","policy","unitary, topic, fiscally, augment, align, reforming, implemented, equity, governance, enforceable","agency, department, sec, officer, consistent, intended, employee, head, policy, function",0.24,1.98479103980229
"t.59","t.59","canal","waterfront, tonnage, panama, canal, credential, alcoholic, fined, zone, sabotage, commandant","canal, vessel, zone, panama, governor, facility, person, regulation, port, relating",0.19,0.946907451871611
"t.60","t.60","emergency","claimancy, fallout, deconcentration, survival, shelter, dispersal, poultry, evacuation, continuity, attack","emergency, plan, program, national, develop, facility, function, agency, resource, preparedness",0.19,0.799854039669177
"t.61","t.61","retirement","annuity, retainer, deficit, annuitant, spending, participant, pension, multiplied, reconciliation, dy","year, service, retirement, date, percent, system, subsection, fiscal, annuity, disability",0.12,0.949451893578684
"t.62","t.62","court","introduce, argument, innocence, pleading, interlocutory, plea, dismiss, interpreter, alleging, ascertained","court, counsel, trial, accused, martial, officer, charge, case, offense, member",0.35,0.25959591383923
"t.63","t.63","foreign","montenegro, soviet, socialist, france, axi, ireland, quadripartite, australia, luxembourg, yugoslavia","foreign, republic, allowance, government, member, purpose, service, country, yugoslavia, post",0.11,1.00333483133737
"t.64","t.64","effect","iraqi, leone, liberia, boycott, destined, journalistic, haiti, sierra, illegally, exportation","regulation, effect, nation, emergency, action, national, issued, license, export, sec",0.2,1.50731153641023
"t.65","t.65","inspection","taxable, tax, revenue, gift, estate, inspection, income, profit, eighty, return","inspection, tax, return, internal, revenue, stat, committee, code, income, congress",0.41,2.75493244717861
"t.66","t.66","line","contour, tva, elevation, nantahala, datum, marker, leaving, approximate, width, foot","feet, line, land, point, boundary, contour, approximately, foot, tva, marker",0.23,0.322886291296103
"t.67","t.67","inserting","comma, inserting, striking, redesignating, relettering, semicolon, delete, phrase, insert, word","inserting, thereof, lieu, striking, word, subsection, deleting, paragraph, read, sec",0.2,1.95927343559683
"t.68","t.68","decision","disagree, encountered, copying, disapproval, cite, particularity, precedent, indication, equally, notify","time, request, review, determination, procedure, information, made, provided, decision, required",0.27,1.20158010301371
"t.69","t.69","member","intermittently, holocaust, devote, diem, demographic, reimbursable, broadly, faca, practitioner, disparity","member, service, advisory, function, committee, report, sec, compensation, general, extent",0.2,2.68507794776013
"t.70","t.70","dispute","stevedore, carpenter, lockout, imperil, inquire, bituminous, longshoremen, cio, strike, ind","board, labor, dispute, creating, emergency, investigate, industry, railroad, report, affecting",0.4,1.00335259652934
"t.71","t.71","schedule","comparability, upward, surgery, intermediate, midshipman, monthly, locality, cadet, adjusting, rate","schedule, pay, rate, basic, service, sec, salary, part, made, attached",0.24,1.76200819910238
"t.72","t.72","railroad","pittsburgh, erie, toledo, denver, minneapoli, baltimore, boston, duluth, peoria, lehigh","railroad, company, railway, terminal, pacific, western, chicago, union, southern, texa",0.32,1.19413517468462
"t.73","t.73","regulation","quetico, missing, supp, revoking, revised, untied, cong, german, aforesaid, extension","stat, june, august, july, regulation, harrystruman, public, march, december, january",0.07,3.3945351451356
"t.74","t.74","environment","recycling, preferable, recycled, reuse, recovered, pollutant, generated, waste, landfill, environment","environment, agency, product, procurement, facility, epa, sec, waste, material, chemical",0.15,0.421046933634858
"t.75","t.75","dod","adjutant, declaring, vacating, equip, logistic, succeed, precedence, sate, squadron, command","dod, force, military, chief, air, navy, army, naval, commander, service",0.19,1.43066146950892
"t.76","t.76","energy","greenhouse, renewable, solar, biomass, geothermal, fueled, electricity, intensity, vehicle, emission","energy, agency, vehicle, fuel, facility, cost, gas, doe, building, sec",0.22,0.501957853407414
"t.77","t.77","organization","abridge, enjoy, immunity, enjoyed, coffee, jeopardize, immune, euratom, preparatory, prejudicial","international, organization, immunity, public, privilege, exemption, entitled, enjoy, treaty, respect",0.26,2.17232952123144
"t.78","t.78","service","noncompetitively, probationary, converted, probational, noncompetitive, noncareer, competitive, reinstatement, intermittent, qualifying","service, civil, position, appointment, commission, competitive, employee, career, person, rule",0.14,1.98516374478116
"t.79","t.79","information","interoperable, homeland, infrastructure, counterterrorism, steering, network, dhs, terrorist, sharing, prioritizing","security, national, information, infrastructure, dhs, agency, critical, homeland, department, computing",0.28,0.792006118303114
"t.80","t.80","intelligence","counterintelligence, nsc, fbi, intelligence, propriety, gathered, architecture, translate, proprietary, acknowledged","intelligence, activity, foreign, national, director, agency, information, community, security, central",0.25,0.624690368622319
