"","num","title","year","word.count","president","party","st.flag","eoMatches.num","matchWords.num","stMatch.count","stMatchRatio","Id","Label"
"17","12055","Export of Special Nuclear Material to India","1978",136,"39-Jimmy Carter","D",TRUE,0,3,7,0.0514705882352941,"12055","12055"
"18","12026","Energy Department Employees","1977",141,"39-Jimmy Carter","D",TRUE,0,4,7,0.049645390070922,"12026","12026"
"19","13123","Greening the Government Through Efficient Energy Management","1999",5340,"42-William J. Clinton","D",TRUE,3,15,257,0.04812734082397,"13123","13123"
"20","12038","Department of Energy","1978",1582,"39-Jimmy Carter","D",TRUE,26,10,75,0.0474083438685209,"12038","12038"
"21","12344","Naval Nuclear Propulsion Program","1982",937,"40-Ronald Reagan","R",TRUE,0,8,44,0.0469583778014941,"12344","12344"
"22","10668","Amendment of Executive Order No. 2859, of May 11, 1918, Relating to the National Research Council","1956",575,"34-Dwight D. Eisenhower","R",TRUE,0,6,27,0.0469565217391304,"10668","10668"
"23","11381","Amending Executive Order No. 10807 of March 13, 1959, Relating to the Federal Council for Science and Technology","1967",213,"36-Lyndon B. Johnson","D",TRUE,1,15,10,0.0469483568075117,"11381","11381"
"24","12881","Establishment of the National Science and Technology Council","1993",583,"42-William J. Clinton","D",TRUE,0,17,27,0.0463121783876501,"12881","12881"
"25","11834","Activation of the Energy Research and Development Administration and the Nuclear Regulatory Commission","1975",284,"38-Gerald R. Ford","R",TRUE,1,5,13,0.0457746478873239,"11834","11834"
"26","12821","Improving Mathematics and Science Education in Support of the National Education Goals","1992",1005,"41-George H. W. Bush","R",TRUE,0,16,46,0.045771144278607,"12821","12821"
"27","13035","Advisory Committee on High-Performance Computing and Communications, Information Technology, and the Next Generation Internet","1997",515,"42-William J. Clinton","D",TRUE,0,7,23,0.0446601941747573,"13035","13035"
"28","12677","Historically Black Colleges and Universities","1989",1133,"41-George H. W. Bush","R",TRUE,1,7,50,0.0441306266548985,"12677","12677"
"29","12193","Nuclear Cooperation With EURATOM","1980",137,"39-Jimmy Carter","D",TRUE,0,3,6,0.0437956204379562,"12193","12193"
"30","12670","Nuclear Cooperation With EURATOM","1989",138,"41-George H. W. Bush","R",TRUE,9,3,6,0.0434782608695652,"12670","12670"
"31","10807","Federal Council for Science and Technology","1959",1289,"34-Dwight D. Eisenhower","R",TRUE,2,12,56,0.04344453064391,"10807","10807"
"32","11726","Energy Policy Office","1973",462,"37-Richard Nixon","R",TRUE,1,2,20,0.0432900432900433,"11726","11726"
"33","12231","Strategic Petroleum Reserve","1980",185,"39-Jimmy Carter","D",TRUE,1,3,8,0.0432432432432432,"12231","12231"
"34","12295","Nuclear Cooperation With EURATOM","1981",141,"40-Ronald Reagan","R",TRUE,1,3,6,0.0425531914893617,"12295","12295"
"35","12218","Export of Special Nuclear Material and Components to India","1980",142,"39-Jimmy Carter","D",TRUE,0,4,6,0.0422535211267606,"12218","12218"
"36","13113","President's Information Technology Advisory Committee, Further Amendments to Executive Order 13035, as Amended","1999",287,"42-William J. Clinton","D",TRUE,1,3,12,0.0418118466898955,"13113","13113"
"37","11477","Authorizing the Atomic Energy Commission to Make Certain Awards Without the Approval of the President","1969",144,"37-Richard Nixon","R",TRUE,0,3,6,0.0416666666666667,"11477","11477"
"38","11882","Membership of Energy Research and Development Administration on Established River Basin Commissions","1975",217,"38-Gerald R. Ford","R",TRUE,5,4,9,0.0414746543778802,"11882","11882"
"39","12156","Federal Emergency Management Agency; Department of Energy","1979",218,"39-Jimmy Carter","D",TRUE,5,3,9,0.0412844036697248,"12156","12156"
"40","12409","Nuclear Cooperation with EURATOM","1983",146,"40-Ronald Reagan","R",TRUE,3,3,6,0.0410958904109589,"12409","12409"
"41","13103","Computer Software Piracy","1998",974,"42-William J. Clinton","D",TRUE,1,4,40,0.0410677618069815,"13103","13103"
"42","13134","Developing and Promoting Biobased Products and Bioenergy","1999",1565,"42-William J. Clinton","D",TRUE,1,14,64,0.0408945686900958,"13134","13134"
"43","12463","Nuclear Cooperation With EURATOM","1984",147,"40-Ronald Reagan","R",TRUE,4,3,6,0.0408163265306122,"12463","12463"
"44","12506","Nuclear Cooperation With EURATOM","1985",148,"40-Ronald Reagan","R",TRUE,5,3,6,0.0405405405405405,"12506","12506"
"45","12554","Nuclear Cooperation With EURATOM","1986",149,"40-Ronald Reagan","R",TRUE,6,3,6,0.0402684563758389,"12554","12554"
"46","12587","Nuclear Cooperation With EURATOM","1987",150,"40-Ronald Reagan","R",TRUE,7,3,6,0.04,"12587","12587"
"47","13305","Extension of the Presidents Information Technology Advisory Committee and the Presidents Council of Advisors on Science and Technology","2003",175,"43-George W. Bush","R",TRUE,2,4,7,0.04,"13305","13305"
"48","11933","Termination of the Federal Energy Office","1976",251,"38-Gerald R. Ford","R",TRUE,1,1,10,0.0398406374501992,"11933","11933"
"49","12232","Historically Black Colleges and Universities","1980",452,"39-Jimmy Carter","D",TRUE,0,4,18,0.0398230088495575,"12232","12232"
"50","10956","Amendment of Executive Order No. 10841, Relating to International Cooperation Under the Atomic Energy Act of 1954, as Amended","1961",152,"35-John F. Kennedy","D",TRUE,1,2,6,0.0394736842105263,"10956","10956"
"51","11814","Activation of the Energy Resources Council","1974",532,"38-Gerald R. Ford","R",TRUE,0,15,21,0.0394736842105263,"11814","11814"
"52","12184","President's Special Commission for the Study of Ethical Problems in Medicine and Biomedical and Behavioral Research","1979",304,"39-Jimmy Carter","D",TRUE,0,4,12,0.0394736842105263,"12184","12184"
"53","9791","Providing for a Study of Scientific Reseach and Development Activities and Establishing the President's Scientific Research Board","1946",609,"33-Harry S. Truman","D",TRUE,0,9,24,0.0394088669950739,"9791","9791"
"54","12706","Nuclear Cooperation with EURATOM","1990",155,"41-George H. W. Bush","R",TRUE,10,3,6,0.0387096774193548,"12706","12706"
"55","12753","Nuclear Cooperation With EURATOM","1991",157,"41-George H. W. Bush","R",TRUE,11,3,6,0.0382165605095541,"12753","12753"
"56","11089","Assigning Emergency Preparedness Functions to the Atomic Energy Commission","1963",891,"35-John F. Kennedy","D",TRUE,0,10,34,0.0381593714927048,"11089","11089"
"57","11734","Revising the Membership of the President's Committee on the National Medal of Science","1973",79,"37-Richard Nixon","R",TRUE,1,1,3,0.0379746835443038,"11734","11734"
"58","12791","Nuclear Cooperation With Euratom","1992",158,"41-George H. W. Bush","R",TRUE,12,3,6,0.0379746835443038,"12791","12791"
"59","12660","National Microgravity Research Board","1988",401,"40-Ronald Reagan","R",TRUE,1,11,15,0.0374064837905237,"12660","12660"
"60","12840","Nuclear Cooperation With EURATOM","1993",161,"42-William J. Clinton","D",TRUE,13,3,6,0.0372670807453416,"12840","12840"
"61","12351","Nuclear Cooperation With EURATOM","1982",164,"40-Ronald Reagan","R",TRUE,2,3,6,0.0365853658536585,"12351","12351"
"62","12876","Historically Black Colleges and Universities","1993",1288,"42-William J. Clinton","D",TRUE,1,8,47,0.0364906832298137,"12876","12876"
"63","12501","Arctic Research","1985",1426,"40-Ronald Reagan","R",TRUE,0,17,52,0.0364656381486676,"12501","12501"
"64","12712","Adding the Secretary of Energy to the National Space Council","1990",83,"41-George H. W. Bush","R",TRUE,1,1,3,0.036144578313253,"12712","12712"
"65","12832","Amendments Relating to the National Research Council","1993",974,"41-George H. W. Bush","R",TRUE,0,10,35,0.0359342915811088,"12832","12832"
"66","12629","Nuclear Cooperation With EURATOM","1988",167,"40-Ronald Reagan","R",TRUE,8,3,6,0.0359281437125748,"12629","12629"
"67","13256","Presidents Board of Advisors on Historically Black Colleges and Universities","2002",1256,"43-George W. Bush","R",TRUE,1,9,45,0.035828025477707,"13256","13256"
"68","12009","Department of Energy","1977",228,"39-Jimmy Carter","D",TRUE,0,3,8,0.0350877192982456,"12009","12009"
"69","13104","Amendment to Executive Order 13021, Tribal Colleges and Universities","1998",115,"42-William J. Clinton","D",TRUE,1,1,4,0.0347826086956522,"13104","13104"
"70","12903","Nuclear Cooperation With EURATOM","1994",175,"42-William J. Clinton","D",TRUE,14,3,6,0.0342857142857143,"12903","12903"
"71","12955","Nuclear Cooperation With EURATOM","1995",177,"42-William J. Clinton","D",TRUE,15,3,6,0.0338983050847458,"12955","12955"
"72","10780","Suspension of Certain Provisions of Section 5762(a), Title 10, United States Code, Which Relate to Promotion of Officers of Supply Corps, Chaplain Corps, Civil Engineer Corps, and Medical Service Corps of the Navy","1958",208,"34-Dwight D. Eisenhower","R",TRUE,0,3,7,0.0336538461538462,"10780","10780"
"73","9912","Establishing the Interdepartmental Committee on Scientific Research and Development","1947",448,"33-Harry S. Truman","D",TRUE,0,4,15,0.0334821428571429,"9912","9912"
"74","11502","Enlarging the Membership of the President's Committee on the National Medal of Science","1969",121,"37-Richard Nixon","R",TRUE,1,1,4,0.0330578512396694,"11502","11502"
"75","12320","Historically Black Colleges and Universities","1981",669,"40-Ronald Reagan","R",TRUE,1,7,22,0.0328849028400598,"12320","12320"
"76","13211","Actions Concerning Regulations That Significantly Affect Energy Supply, Distribution, or Use","2001",643,"43-George W. Bush","R",TRUE,1,3,21,0.0326594090202177,"13211","13211"
"77","13624","Accelerating Investment in Industrial Energy Efficiency","2012",1011,"44-Barack Obama","D",TRUE,0,9,33,0.0326409495548961,"13624","13624"
"78","13451","Designating the ITER International Fusion Energy Organization as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities","2007",184,"43-George W. Bush","R",TRUE,0,2,6,0.0326086956521739,"13451","13451"
"79","10849","Establishing a Seal for the National Aeronautics and Space Administration","1959",188,"34-Dwight D. Eisenhower","R",TRUE,0,1,6,0.0319148936170213,"10849","10849"
"80","9913","Terminating the Office of Scientific Research and Development and Providing for the Completion of Its Liquidation","1947",253,"33-Harry S. Truman","D",TRUE,0,2,8,0.0316205533596838,"9913","9913"
"81","9816","Providing the Transfer of Properties and Personnel to the Atomic Energy Commission","1946",792,"33-Harry S. Truman","D",TRUE,0,8,25,0.0315656565656566,"9816","9816"
"82","10793","Transferring Certain Functions From the Department of Defense to the National Aeronautics and Space Administration","1958",355,"34-Dwight D. Eisenhower","R",TRUE,0,7,11,0.0309859154929577,"10793","10793"
"83","11819","Membership of the Energy Resources Council","1974",227,"38-Gerald R. Ford","R",TRUE,1,15,7,0.0308370044052863,"11819","11819"
"84","13335","Incentives for the Use of Health Information Technology and Establishing the Position of the National Health Information Technology Coordinator","2004",946,"43-George W. Bush","R",TRUE,0,11,29,0.0306553911205074,"13335","13335"
"85","10262","Suspension of Professional Examinations for Promotion of Medical, Dental, and Veterinary Offices in the Regular Army and Air Force","1951",100,"33-Harry S. Truman","D",TRUE,0,1,3,0.03,"10262","10262"
"86","9604","Providing for the Release of Scientific Information (Extension and Amendment of Executive Order No. 9568)","1945",305,"33-Harry S. Truman","D",TRUE,1,5,9,0.0295081967213115,"9604","9604"
"87","12700","President's Council of Advisors on Science and Technology","1990",441,"41-George H. W. Bush","R",TRUE,0,4,13,0.0294784580498866,"12700","12700"
"88","13435","Expanding Approved Stem Cell Lines in Ethically Responsible Ways","2007",892,"43-George W. Bush","R",TRUE,0,6,26,0.0291479820627803,"13435","13435"
"89","13200","Presidents Information Technology Advisory Committee, Further Amendment to Executive Order 13035, as Amended","2001",173,"43-George W. Bush","R",TRUE,3,3,5,0.0289017341040462,"13200","13200"
"90","13521","Establishing the Presidential Commission for the Study of Bioethical Issues","2009",951,"44-Barack Obama","D",TRUE,1,9,27,0.028391167192429,"13521","13521"
"91","10596","Revocation of Executive Order No. 9908 of December 5, 1947","1955",388,"34-Dwight D. Eisenhower","R",TRUE,2,3,11,0.0283505154639175,"10596","10596"
"92","13329","Encouraging Innovation in Manufacturing","2004",601,"43-George W. Bush","R",TRUE,1,7,17,0.0282861896838602,"13329","13329"
"93","12768","Extension of the President's Council of Advisors on Science and Technology","1991",71,"41-George H. W. Bush","R",TRUE,1,1,2,0.028169014084507,"12768","12768"
"94","11855","Membership of the Energy Resources Council","1975",249,"38-Gerald R. Ford","R",TRUE,1,20,7,0.0281124497991968,"11855","11855"
"95","13270","Tribal Colleges and Universities","2002",1492,"43-George W. Bush","R",TRUE,1,10,41,0.0274798927613941,"13270","13270"
"96","10783","Transferring Certain Functions From the Department of Defense to the National Aeronautics and Space Administration","1958",367,"34-Dwight D. Eisenhower","R",TRUE,1,6,10,0.0272479564032698,"10783","10783"
"97","12902","Energy Efficiency and Water Conservation at Federal Facilities","1994",1481,"42-William J. Clinton","D",TRUE,1,6,40,0.0270087778528022,"12902","12902"
"98","10861","Suspension of Certain Provisions of Section 5762 of Title 10 of the United States Code Which Relate to the Promotion of Officers of the Supply Corps, Chaplain Corps, Civil Engineer Corps, and Medical Service Corps of the Navy","1960",299,"34-Dwight D. Eisenhower","R",TRUE,0,3,8,0.0267558528428094,"10861","10861"
"99","13419","National Aeronautics Research and Development","2006",1013,"43-George W. Bush","R",TRUE,2,14,27,0.0266535044422507,"13419","13419"
"100","11930","Performance by the Federal Energy Office of Energy Functions of the Federal Energy Administration","1976",1368,"38-Gerald R. Ford","R",TRUE,3,7,36,0.0263157894736842,"11930","11930"
"101","11902","Procedures for an Export Licensing Policy as to Nuclear Materials and Equipment","1976",723,"38-Gerald R. Ford","R",TRUE,0,10,19,0.0262793914246196,"11902","11902"
"102","11287","Award and Presentation of the National Medal of Science","1966",1365,"36-Lyndon B. Johnson","D",TRUE,2,8,35,0.0256410256410256,"11287","11287"
"103","13021","Tribal Colleges and Universities","1996",1562,"42-William J. Clinton","D",TRUE,2,10,39,0.0249679897567221,"13021","13021"
"104","10870","Designating the Facilities of the National Aeronautics and Space Administration at Huntsville, Alabama, as the George C. Marshall Space Flight Center","1960",161,"34-Dwight D. Eisenhower","R",TRUE,0,2,4,0.0248447204968944,"10870","10870"
"105","12759","Federal Energy Management","1991",1252,"41-George H. W. Bush","R",TRUE,0,6,31,0.0247603833865815,"12759","12759"
"106","12083","Energy Coordinating Committee","1978",529,"39-Jimmy Carter","D",TRUE,1,22,13,0.0245746691871456,"12083","12083"
"107","10751","Amendment of Executive Order No. 10127, Establishing Airspace Reservations Over Certain Facilities of the United States Atomic Energy Commission","1958",163,"34-Dwight D. Eisenhower","R",TRUE,1,2,4,0.0245398773006135,"10751","10751"
"108","13111","Using Technology To Improve Training Opportunities for Federal Government Employees","1999",2325,"42-William J. Clinton","D",TRUE,1,18,57,0.0245161290322581,"13111","13111"
"109","10961","Providing Procedures for the Award of the National Medal of Science","1961",698,"35-John F. Kennedy","D",TRUE,1,4,17,0.0243553008595989,"10961","10961"
"110","11775","Abolishing the Energy Policy Office","1974",412,"37-Richard Nixon","R",TRUE,3,7,10,0.0242718446601942,"11775","11775"
"111","13212","Actions To Expedite Energy-Related Projects","2001",454,"43-George W. Bush","R",TRUE,0,13,11,0.0242290748898678,"13212","13212"
"112","12975","Protection of Human Research Subjects and Creation of National Bioethics Advisory Commission","1995",1068,"42-William J. Clinton","D",TRUE,0,8,25,0.0234082397003745,"12975","12975"
"113","10910","Providing for the Design and Award of the National Medal of Science","1961",470,"34-Dwight D. Eisenhower","R",TRUE,0,4,11,0.0234042553191489,"10910","10910"
"114","13179","Providing Compensation to Americas Nuclear Weapons Workers","2000",2030,"42-William J. Clinton","D",TRUE,0,13,47,0.0231527093596059,"13179","13179"
"115","11912","Delegation of Authorities Relating to Energy Policy and Conservation","1976",1385,"38-Gerald R. Ford","R",TRUE,1,7,32,0.0231046931407942,"11912","11912"
"116","11060","Prescribing Certain Regulations and Delegating to the Attorney General Certain Authority of the President to Prescribe Other Regulations Relating to the Recovery From Tortiously Liable Third Persons of the Cost of Hospital and Medical Care and Treatment Furnished by the United States","1962",131,"35-John F. Kennedy","D",TRUE,0,3,3,0.0229007633587786,"11060","11060"
"117","9928","Suspending Professional Examinations for Permanent Promotion of Officers in the Medical Department of the Army","1948",88,"33-Harry S. Truman","D",TRUE,0,2,2,0.0227272727272727,"9928","9928"
"118","13011","Federal Information Technology","1996",2663,"42-William J. Clinton","D",TRUE,0,30,60,0.0225309800976342,"13011","13011"
"119","11160","Prescribing Regulations Relating to Medical Care for Retired Ships' Officers and Members of Crews of Vessels of the Coast and Geodetic Survey and Dependents of Active and Retired Ships' Officers and Crew Members","1964",938,"36-Lyndon B. Johnson","D",TRUE,1,2,21,0.0223880597014925,"11160","11160"
"120","13398","National Mathematics Advisory Panel","2006",939,"43-George W. Bush","R",TRUE,0,6,21,0.0223642172523962,"13398","13398"
"121","12058","Nuclear Non-Proliferation","1978",582,"39-Jimmy Carter","D",TRUE,1,5,13,0.0223367697594502,"12058","12058"
"122","13100","President's Council on Food Safety","1998",767,"42-William J. Clinton","D",TRUE,0,11,17,0.0221642764015645,"13100","13100"
"123","11393","Amending Executive Order No. 11248, Placing Certain Positions in Levels IV and V of the Federal Executive Salary Schedule","1968",91,"36-Lyndon B. Johnson","D",TRUE,2,3,2,0.021978021978022,"11393","11393"
"124","13221","Energy Efficient Standby Power Devices","2001",319,"43-George W. Bush","R",TRUE,0,3,7,0.0219435736677116,"13221","13221"
"125","10710","Creating a Board of Inquiry To Report on a Labor Dispute Affecting the Operations of Atomic Energy Facilities","1957",228,"34-Dwight D. Eisenhower","R",TRUE,0,4,5,0.0219298245614035,"10710","10710"
"126","13237","Creation of the Presidents Council on Bioethics","2001",960,"43-George W. Bush","R",TRUE,0,5,21,0.021875,"13237","13237"
"127","12202","Nuclear Safety Oversight Committee","1980",969,"39-Jimmy Carter","D",TRUE,0,6,21,0.021671826625387,"12202","12202"
"128","10734","Amendment of Executive Order No. 10657, Relating to the Transfer to the Housing and Home Finance Administrator of Certain Functions Under the Atomic Energy Community Act of 1955","1957",324,"34-Dwight D. Eisenhower","R",TRUE,1,3,7,0.0216049382716049,"10734","10734"
"129","11268","Placing an Additional Position in Level V of the Federal Executive Salary Schedule","1966",93,"36-Lyndon B. Johnson","D",TRUE,1,3,2,0.021505376344086,"11268","11268"
"130","12121","Energy Coordinating Committee","1979",93,"39-Jimmy Carter","D",TRUE,1,1,2,0.021505376344086,"12121","12121"
"131","13133","Working Group on Unlawful Conduct on the Internet","1999",476,"42-William J. Clinton","D",TRUE,0,8,10,0.0210084033613445,"13133","13133"
"132","13636","Improving Critical Infrastructure Cybersecurity","2013",3084,"44-Barack Obama","D",TRUE,5,15,64,0.0207522697795071,"13636","13636"
"133","11770","International Symposium on Geothermal Energy-1975","1974",194,"37-Richard Nixon","R",TRUE,0,4,4,0.0206185567010309,"11770","11770"
"134","13458","Implementation of the Protocol Additional to the Agreement Between the United States and the International Atomic Energy Agency for the Application of Safeguards in the United States of America","2008",388,"43-George W. Bush","R",TRUE,0,7,8,0.0206185567010309,"13458","13458"
"135","13147","White House Commission on Complementary and Alternative Medicine Policy","2000",486,"42-William J. Clinton","D",TRUE,0,5,10,0.0205761316872428,"13147","13147"
"136","11098","Amending the Selective Service Regulations","1963",2053,"35-John F. Kennedy","D",TRUE,12,3,42,0.0204578665367755,"11098","11098"
"137","10942","Amendment of Executive Order No. 10849, Establishing a Seal for the National Aeronautics and Space Administration","1961",147,"35-John F. Kennedy","D",TRUE,1,1,3,0.0204081632653061,"10942","10942"
"138","13527","Establishing Federal Capability for the Timely Provision of Medical Countermeasures Following a Biological Attack","2009",637,"44-Barack Obama","D",TRUE,0,9,13,0.0204081632653061,"13527","13527"
"139","12894","North Pacific Marine Science Organization","1994",148,"42-William J. Clinton","D",TRUE,0,1,3,0.0202702702702703,"12894","12894"
"140","12997","Korean Peninsula Energy Development Organization","1996",148,"42-William J. Clinton","D",TRUE,0,1,3,0.0202702702702703,"12997","12997"
"141","9703","Regulations Relating to the Medical Care of Certain Personnel of the Coast Guard, Coast and Geodetic Survey, Public Health Service, and Former Lighthouse Service","1946",2970,"33-Harry S. Truman","D",TRUE,0,3,60,0.0202020202020202,"9703","9703"
"142","11553","Amending the Selective Service Regulations","1970",199,"37-Richard Nixon","R",TRUE,4,1,4,0.0201005025125628,"11553","11553"
"143","11095","Assigning Emergency Preparedness Functions to: The Board of Directors of the Tennessee Valley Authority; The Railroad Retirement Board; The Administrator of the National Aeronautics and Space Administration; The Federal Power Commission; The Director of the National Science Foundation","1963",1850,"35-John F. Kennedy","D",TRUE,1,17,37,0.02,"11095","11095"
"144","12665","Amending Executive Order No. 12658, President's Commission on Catastrophic Nuclear Accidents","1989",100,"40-Ronald Reagan","R",TRUE,1,1,2,0.02,"12665","12665"
"145","10166","Establishing the National Advisory Committee on the Selection of Doctors, Dentists and Allied Specialists","1950",452,"33-Harry S. Truman","D",TRUE,0,5,9,0.0199115044247788,"10166","10166"
"146","12956","Israel-United States Binational Industrial Research and Development Foundation","1995",152,"42-William J. Clinton","D",TRUE,0,1,3,0.0197368421052632,"12956","12956"
"147","11057","Authorization for the Communication of Restricted Data by the Department of State","1962",254,"35-John F. Kennedy","D",TRUE,1,5,5,0.0196850393700787,"11057","11057"
"148","12020","Educational Benefits for Veterans and Dependents","1977",256,"39-Jimmy Carter","D",TRUE,0,2,5,0.01953125,"12020","12020"
"149","11760","Designating the European Space Research Organization (ESRO) as a Public International Organization Entitled to Enjoy Certain Privileges, Exemptions, and Immunities","1974",103,"37-Richard Nixon","R",TRUE,2,1,2,0.0194174757281553,"11760","11760"
"150","12999","Educational Technology: Ensuring Opportunity for All Children in the Next Century","1996",1092,"42-William J. Clinton","D",TRUE,1,7,21,0.0192307692307692,"12999","12999"
"151","13511","Continuance of Certain Federal Advisory Committees","2009",416,"44-Barack Obama","D",TRUE,16,14,8,0.0192307692307692,"13511","13511"
"152","10899","Authorization for the Communication of Restricted Data by the Central Intelligence Agency","1960",262,"34-Dwight D. Eisenhower","R",TRUE,1,5,5,0.0190839694656489,"10899","10899"
"153","9829","Extension of the Provisions of Executive Order 9177 of May 30, 1942, to the United States Atomic Energy Commission","1947",158,"33-Harry S. Truman","D",TRUE,0,4,3,0.0189873417721519,"9829","9829"
"154","13167","Amendment to Executive Order 13147, Increasing the Membership of the White House Commission on Complementary and Alternative Medicine Policy","2000",106,"42-William J. Clinton","D",TRUE,1,1,2,0.0188679245283019,"13167","13167"
"155","13341","Further Amendment to Executive Order 11023, Providing for the Performance by the Secretary of Commerce of Certain Functions Relating to the National Oceanic and Atmospheric Administration","2004",863,"43-George W. Bush","R",TRUE,1,5,16,0.018539976825029,"13341","13341"
"156","10799","Providing Further for the Administration of the Agricultural Trade Development and Assistance Act of 1954, as Amended","1959",218,"34-Dwight D. Eisenhower","R",TRUE,1,3,4,0.018348623853211,"10799","10799"
"157","12192","State Planning Council on Radioactive Waste Management","1980",714,"39-Jimmy Carter","D",TRUE,0,6,13,0.0182072829131653,"12192","12192"
"158","11748","Federal Energy Office","1973",627,"37-Richard Nixon","R",TRUE,2,4,11,0.0175438596491228,"11748","11748"
"159","13155","Access to HIV/AIDS Pharmaceuticals and MedicalTechnologies","2000",1030,"42-William J. Clinton","D",TRUE,0,7,18,0.0174757281553398,"13155","13155"
"160","13326","Presidents Commission on Implementation of United States Space Exploration Policy","2004",701,"43-George W. Bush","R",TRUE,1,6,12,0.0171184022824536,"13326","13326"
"161","12661","Implementing the Omnibus Trade and Competitiveness Act of 1988 and Related International Trade Matters","1988",2879,"40-Ronald Reagan","R",TRUE,2,21,49,0.0170197985411601,"12661","12661"
"162","13215","Presidents Information Technology Advisory Committee, Further Amendment to Executive Order 13035, as Amended","2001",295,"43-George W. Bush","R",TRUE,4,3,5,0.0169491525423729,"13215","13215"
"163","9568","Providing for the Release of Scientific Information","1945",891,"33-Harry S. Truman","D",TRUE,0,11,15,0.0168350168350168,"9568","9568"
"164","11932","Classification of Certain Information and Material Obtained From Advisory Bodies Created to Implement the International Energy Program","1976",535,"38-Gerald R. Ford","R",TRUE,1,5,9,0.0168224299065421,"11932","11932"
"165","12961","Presidential Advisory Committee on Gulf War Veterans' Illnesses","1995",781,"42-William J. Clinton","D",TRUE,0,10,13,0.0166453265044814,"12961","12961"
"166","12287","Decontrol of Crude Oil and Refined Petroleum Products","1981",487,"40-Ronald Reagan","R",TRUE,2,3,8,0.0164271047227926,"12287","12287"
"167","12517","Delegation Concerning the United States- India Fund for Cultural, Educational, and Scientific Cooperation","1985",183,"40-Ronald Reagan","R",TRUE,0,5,3,0.0163934426229508,"12517","12517"
"168","13500","Further Amendments to Executive Order 12859, Establishment of the Domestic Policy Council","2009",184,"44-Barack Obama","D",TRUE,1,3,3,0.016304347826087,"13500","13500"
"169","13225","Continuance of Certain Federal Advisory Committees","2001",580,"43-George W. Bush","R",TRUE,20,16,9,0.0155172413793103,"13225","13225"
"170","12509","Technical Review Group on Inertial Confinement Fusion","1985",387,"40-Ronald Reagan","R",TRUE,0,5,6,0.0155038759689922,"12509","12509"
"171","9673","Transfer of Certain Production Research and Development Functions from the Civilian Production Administration to the Department of Commerce","1946",194,"33-Harry S. Truman","D",TRUE,0,4,3,0.0154639175257732,"9673","9673"
"172","11177","Providing for Certain Arrangements Under the Columbia River Treaty","1964",647,"36-Lyndon B. Johnson","D",TRUE,0,3,10,0.0154559505409583,"11177","11177"
